alpha,N,True_N,converged,loglik,conv
1000.0,30,23,True,10.946248827656547,yes
1000.0,31,22,True,10.950528104559066,yes
1000.0,32,21,True,10.975723986871637,yes
1000.0,33,21,False,11.173357241209349,no
1000.0,34,21,True,11.17319911580724,yes
1000.0,35,22,False,11.178513062810367,no
1000.0,36,22,False,11.346543220464644,no
1000.0,37,23,False,11.323016852173728,no
1000.0,38,23,False,11.326649389252184,no
1000.0,39,24,True,11.293890443950907,yes
1000.0,40,25,True,11.173666829125132,yes
1000.0,41,25,False,11.180080361103151,no
1000.0,42,25,False,11.181829529707821,no
1000.0,43,25,False,11.175197337333662,no
1000.0,44,26,False,11.122079204361862,no
1000.0,45,26,False,10.934516050863543,no
1000.0,46,25,False,10.967244520617868,no
1000.0,47,25,True,10.967228894110875,yes
1000.0,48,26,True,10.963105915354479,yes
1000.0,49,26,False,10.963121345562943,no
1000.0,50,24,True,10.959781662591103,yes
1000.0,51,25,False,10.96534537927113,no
1000.0,52,24,True,10.960037623598794,yes
1000.0,53,26,False,10.954312797956584,no
1000.0,54,28,True,11.148440813634988,yes
1000.0,55,24,False,11.23482885145221,no
1000.0,56,24,False,11.236210839881275,no
1000.0,57,25,False,11.212538294495662,no
1000.0,58,24,False,11.236047336097897,no
1000.0,59,25,False,11.243300710363364,no
1000.0,60,26,False,11.242296929807772,no
1000.0,61,27,False,11.313957294244402,no
1000.0,62,27,False,11.313877036532705,no
1000.0,63,28,False,11.29038294950365,no
1000.0,64,26,False,11.288795212124011,no
1000.0,65,26,False,11.214860870877668,no
1000.0,66,25,False,11.242465354518503,no
1000.0,67,28,True,11.217455742099542,yes
1000.0,68,27,False,11.240949189162711,no
1000.0,69,27,False,11.32014722363308,no
1000.0,70,26,False,11.319516194427123,no
1000.0,71,26,False,11.240357500202343,no
1000.0,72,26,False,11.24044341805939,no
1000.0,73,26,False,11.240443417522775,no
1000.0,74,26,False,11.240474249815149,no
1000.0,75,25,True,11.234625561959364,yes
1000.0,76,25,False,11.234652905732469,no
1000.0,77,25,False,11.234652905357336,no
1000.0,78,25,True,11.23465290592247,yes
1000.0,79,25,True,11.238828241893176,yes
1000.0,80,26,False,11.238908598337003,no
1000.0,81,27,True,11.215417503496509,yes
1000.0,82,27,False,11.216640377460282,no
1000.0,83,27,False,11.212623988696683,no
1000.0,84,27,False,11.208074617051908,no
1000.0,85,30,False,11.138563637475166,no
1000.0,86,30,False,11.216459630545216,no
1000.0,87,31,False,11.138549214782326,no
1000.0,88,28,False,10.942515028614215,no
1000.0,89,28,False,10.942512064832991,no
1000.0,90,27,False,11.018297166360234,no
1000.0,91,28,False,11.020553566924164,no
1000.0,92,31,False,11.206334555252397,no
1000.0,93,31,False,11.206334553974854,no
1000.0,94,29,False,11.016520413974735,no
1000.0,95,26,False,11.013473989090071,no
1000.0,96,26,False,11.013477048978782,no
1000.0,97,26,False,11.013326313747452,no
1000.0,98,26,False,11.011140575469732,no
1000.0,99,26,False,11.011140574726033,no
1000.0,100,28,False,11.011048063322793,no
